timeOpen;e_open;e_high;e_low;e_close
22-Apr-2023;150624.3735992594;153678.3560333318;150344.4105979357;152655.9066454054
21-Apr-2023;158970.1641327592;159972.1118264155;148873.4025890986;150682.4763562069
20-Apr-2023;158204.0766465436;160940.9217104113;156385.3700612091;158944.6218581271
19-Apr-2023;172101.9814142235;172176.4935277679;157563.9609537376;158202.8966563472
18-Apr-2023;170313.1795833819;173073.5060461978;168798.5110917391;172150.3171438846
17-Apr-2023;172886.086251856;172895.24619196;168669.4773310186;170344.9918299968
16-Apr-2023;170659.1320574337;174342.9961534056;169399.0224864855;172886.4597903482
15-Apr-2023;171386.8025786172;172158.1798601634;169339.436270963;170674.2957504112
14-Apr-2023;164536.8161938886;173720.0626798665;164338.5004149322;171388.3603237667
13-Apr-2023;157317.3347697354;165371.4448475411;156531.7197523078;164430.9341521229
12-Apr-2023;155083.1221835688;159099.8533724922;152349.4615350223;157562.1147221008
11-Apr-2023;156082.9481353754;158153.2305745815;154639.210231859;155102.7910132602
10-Apr-2023;150824.999354682;156566.7296345742;150824.999354682;156069.2053401435
9-Apr-2023;150196.7162499456;151981.2195327023;148493.7414777231;150796.338913838
8-Apr-2023;151225.4642285648;152395.6344669505;150132.0165125786;150182.5810667961
7-Apr-2023;152066.0301757113;152842.7183433096;149894.72791694;151303.0752392973
6-Apr-2023;153098.9182782729;153109.2022561937;150656.0171030144;152081.3407571061
5-Apr-2023;148371.5392320313;153643.5446180284;147973.1862655096;153096.5569426379
4-Apr-2023;142362.7535612528;149729.7342877594;141802.4512011942;148374.7162819636
3-Apr-2023;140005.0711725304;144373.8650031247;137711.5772686567;142374.9441584787
2-Apr-2023;141189.7441478852;141432.9282279325;137598.7680477992;140066.3534891506
1-Apr-2023;141229.4571817231;142661.2659667793;140408.7764437041;140621.3591412259
31-Mar-2023;138610.5178875783;142980.0322333366;137498.0877372858;141254.0922265063
30-Mar-2023;138696.5120591368;141294.4512398299;136486.8804182141;138542.2830467886
29-Mar-2023;135750.3787101306;140406.9604132394;135750.3787101306;138669.9051327705
28-Mar-2023;131282.5576196451;137127.4716361524;130305.769661231;135741.6269525088
27-Mar-2023;137209.2043929774;137664.9928385656;129383.6631927555;131292.7693716474
26-Mar-2023;134764.1262945088;138940.1912453984;134558.6171819595;137224.3063734399
25-Mar-2023;135353.5699085612;136219.4932467305;132662.8761588433;134758.1496300743
24-Mar-2023;137980.2289144436;138315.0671246321;133720.9832427141;135398.0335398184
23-Mar-2023;133626.2198681983;140823.1754803185;133274.4828279907;138024.7099832436
22-Mar-2023;138979.8830172384;140394.3788736382;132199.1785204189;133670.5374874914
21-Mar-2023;134076.4943677805;140933.2990422679;132897.3292084857;139118.7663536446
20-Mar-2023;137432.1748161594;140207.1750300038;133496.0267869342;134053.5749589161
19-Mar-2023;135716.9523890199;141943.3492295092;135716.9523890199;137444.5127939587
18-Mar-2023;138034.8456063694;141633.8932121247;134816.2297887703;135616.6036770292
17-Mar-2023;128331.8059889746;138477.4908495093;127535.5714613551;137949.6331158767
16-Mar-2023;126052.6637497057;131218.2817518227;124747.8243636581;128325.5930421098
15-Mar-2023;128724.7910681199;130371.7658748949;123348.9114335114;126041.1360115171
14-Mar-2023;126064.1515089891;134339.2945255645;125125.9204171988;128597.7529420538
13-Mar-2023;121233.7576834951;127385.4333315665;118801.6689168926;126065.1824352522
12-Mar-2023;112961.3243617325;122477.576147074;111374.7626141423;121192.7396796805
11-Mar-2023;108897.4908588295;113091.2495831032;108868.7159357397;112975.3990467112
10-Mar-2023;109162.3797397796;109162.3797397796;104653.1269519126;108901.8597165015
9-Mar-2023;116656.3992977596;117422.6938647531;108061.373708949;109154.8345679963
8-Mar-2023;118063.3309172217;118554.0632586395;116660.7014968781;116660.7014968781
7-Mar-2023;118183.8044493566;119092.1769928676;116820.9216432717;118059.9488348207
6-Mar-2023;117954.4753567122;119130.4999793169;117837.8999235789;118181.8495784727
5-Mar-2023;118165.2953250337;119449.3266382963;117620.5119112449;117960.929025827
4-Mar-2023;118323.5587982099;118803.0257731736;117000.9371302512;118146.0417802871
3-Mar-2023;124437.8992375441;124507.2035922496;117272.1768488982;118315.2284643898
2-Mar-2023;125207.0288862364;125846.9301858958;122183.7373694589;124419.8853033039
1-Mar-2023;120528.3760030544;125198.3391351189;120196.2077022291;125198.3391351189
28-Feb-2023;122434.6383122876;123414.8966527582;120262.2170154564;120517.4753797059
27-Feb-2023;124725.4968176221;124725.4968176221;121041.0036397893;122421.4507499279
26-Feb-2023;121228.5283222793;125068.3161988968;120896.4897606661;124729.5629044571
25-Feb-2023;122282.1702392339;122297.8876038459;119166.2432039087;121240.227329025
24-Feb-2023;124485.6156247325;125254.4632439588;120342.9898086464;122260.4904620109
23-Feb-2023;123093.5276987778;125438.3181001557;122289.5966115585;124499.0983172977
22-Feb-2023;124205.3155206768;124643.9591282793;121071.5593264086;123088.5175674445
21-Feb-2023;127709.8397169028;128571.428609368;123058.3111983822;124197.4829588635
20-Feb-2023;124525.3169561036;127700.6387980762;122819.7676720035;127700.6387980762
19-Feb-2023;125216.8904218811;127235.2014648891;123901.2997356384;124458.6328119939
18-Feb-2023;125410.8781769573;126225.695154766;124623.9929228272;125227.1988592551
17-Feb-2023;122553.5111570896;127762.9083680552;122246.7051861421;125413.9545613396
16-Feb-2023;124707.0144962204;129466.2149410205;122394.0197075694;122537.6323351523
15-Feb-2023;114573.6331384212;124738.4757259928;113737.2876941011;124697.9667295212
14-Feb-2023;111667.3608182131;114965.7205807596;110941.3568286972;114581.7329368665
13-Feb-2023;110749.1761333164;111865.8433877775;108488.8547999026;111680.2398233854
12-Feb-2023;112556.723991525;112979.112085711;109765.5345392076;110757.7028226446
11-Feb-2023;111808.771763294;112670.6702386078;111454.8879836962;112567.7457351014
10-Feb-2023;112963.4152470606;112963.4152470606;111064.2882402786;111803.3994160993
